issue_number,fix_commit_sha,changed_file,parent_commit_sha,note
43638.0,85246d717962b54acc36bf11341b4dc11f5d3ba4,public/app/plugins/datasource/postgres/datasource.test.ts,20574c130a3f16a06924e2b059bbd353dee55cfc,SZZ-lite file-level parent mapping only
43638.0,85246d717962b54acc36bf11341b4dc11f5d3ba4,public/app/plugins/datasource/postgres/datasource.ts,20574c130a3f16a06924e2b059bbd353dee55cfc,SZZ-lite file-level parent mapping only
43629.0,0dd88d9480230fc22ff261dcb70df51f7c27a7af,public/app/features/alerting/unified/components/rule-editor/QueryWrapper.tsx,8cf63a9d44fa7d8a70374891b20dc1c7862f7578,SZZ-lite file-level parent mapping only
43629.0,0dd88d9480230fc22ff261dcb70df51f7c27a7af,public/app/features/query/components/QueryEditorRow.tsx,8cf63a9d44fa7d8a70374891b20dc1c7862f7578,SZZ-lite file-level parent mapping only
43629.0,0dd88d9480230fc22ff261dcb70df51f7c27a7af,public/app/features/query/components/QueryEditorRowHeader.tsx,8cf63a9d44fa7d8a70374891b20dc1c7862f7578,SZZ-lite file-level parent mapping only
43715.0,3d6e9076c93741da0990de2a7dfe3d1694026245,public/app/plugins/datasource/tempo/language_provider.ts,2b967c4c5551a836d2760557d493d5a68bac08a8,SZZ-lite file-level parent mapping only
43857.0,963ae4ef8785813df1ac2a5d40b12f6ef0a39608,pkg/api/dashboard.go,ed5c664e4ab09184dc8e24e0287142cf67bb42c7,SZZ-lite file-level parent mapping only
43857.0,963ae4ef8785813df1ac2a5d40b12f6ef0a39608,pkg/tests/api/dashboards/api_dashboards_test.go,ed5c664e4ab09184dc8e24e0287142cf67bb42c7,SZZ-lite file-level parent mapping only
43950.0,105bf8fd94ed15bd3411219cc80de8adb05d2b87,public/app/plugins/datasource/grafana-azure-monitor-datasource/components/MetricsQueryEditor/dataHooks.ts,f881fd1637e3526ec4e8935305bd017e28f1cb7c,SZZ-lite file-level parent mapping only
44015.0,a65ce992c140164ae7f90206559afecfda9d63e3,pkg/plugins/dashboards.go,f75e4d1a4fcdd87882dc82a603800d42c096983d,SZZ-lite file-level parent mapping only
44015.0,a65ce992c140164ae7f90206559afecfda9d63e3,pkg/plugins/manager/dashboards.go,f75e4d1a4fcdd87882dc82a603800d42c096983d,SZZ-lite file-level parent mapping only
44015.0,a65ce992c140164ae7f90206559afecfda9d63e3,public/app/features/plugins/admin/components/PluginDashboards.tsx,f75e4d1a4fcdd87882dc82a603800d42c096983d,SZZ-lite file-level parent mapping only
44015.0,a65ce992c140164ae7f90206559afecfda9d63e3,public/app/types/plugins.ts,f75e4d1a4fcdd87882dc82a603800d42c096983d,SZZ-lite file-level parent mapping only
43998.0,a728e9b4ddb6532b9fa2f916df106e792229e3e0,public/app/plugins/datasource/mixed/MixedDataSource.test.ts,30aa24a18396f61bfbcbfbeee78b1c0d23685fc3,SZZ-lite file-level parent mapping only
43998.0,a728e9b4ddb6532b9fa2f916df106e792229e3e0,public/app/plugins/datasource/mixed/MixedDataSource.ts,30aa24a18396f61bfbcbfbeee78b1c0d23685fc3,SZZ-lite file-level parent mapping only
