tag_name,release_name,published_at,target_commitish,html_url,draft,prerelease
v9.1.4,9.1.4 (2022-09-09),2022-09-09 15:01:27+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.1.4,False,False
v9.1.5,9.1.5 (2022-09-12),2022-09-13 13:24:15+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.1.5,False,False
v9.1.6,9.1.6 (2022-09-20),2022-09-20 14:32:59+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.1.6,False,False
v9.0.9,9.0.9 (2022-09-20),2022-09-20 16:35:31+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.0.9,False,False
v8.5.13,8.5.13 (2022-09-20),2022-09-20 16:38:14+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.13,False,False
v9.1.7,9.1.7 (2022-10-04),2022-10-04 15:16:12+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.1.7,False,False
v9.1.8,9.1.8 (2022-10-11),2022-10-11 14:15:27+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.1.8,False,False
v9.2.0,9.2.0 (2022-10-11),2022-10-11 14:19:10+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.0,False,False
v9.2.1,9.2.1 (2022-10-18),2022-10-18 13:08:10+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.1,False,False
v9.2.2,9.2.2 (2022-10-25),2022-10-25 13:11:06+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.2,False,False
v9.2.3,9.2.3 (2022-10-31),2022-11-01 10:43:28+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.3,False,False
v9.2.4,9.2.4 (2022-11-07),2022-11-08 14:05:56+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.4,False,False
v8.5.15,8.5.15 (2022-11-08),2022-11-08 15:50:16+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.15,False,False
v9.2.5,9.2.5 (2022-11-16),2022-11-16 18:25:31+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.5,False,False
v9.2.6,9.2.6 (2022-11-22),2022-11-23 17:08:47+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.6,False,False
v9.2.7,9.2.7 (2022-11-29),2022-11-30 09:14:28+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.7,False,False
v9.3.0,9.3.0 (2022-11-30),2022-11-30 09:35:55+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.0,False,False
v9.3.1,9.3.1 (2022-11-30),2022-12-01 21:11:20+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.1,False,False
v9.2.8,9.2.8 (unreleased),2022-12-15 21:58:17+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.8,False,False
v9.3.2,9.3.2 (2022-12-16),2022-12-15 22:51:41+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.2,False,False
v9.2.10,9.2.10 (2023-01-25),2023-01-25 10:05:05+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.2.10,False,False
v8.5.20,8.5.20,2023-01-25 10:07:15+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.20,False,False
v9.3.4,9.3.4 (2023-01-25),2023-01-26 07:29:55+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.4,False,False
v9.3.6,9.3.6 (2023-01-26),2023-01-26 15:30:25+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.6,False,False
v8.5.16,8.5.16 (2023-01-25),2023-01-27 08:57:13+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.16,False,False
v9.4.1,v9.4.1 (2023-02-28),2023-02-28 10:38:25+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.1,False,False
v9.3.8,v9.3.8 (2023-02-28),2023-02-28 12:48:14+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.3.8,False,False
v8.5.21,v8.5.21 (2023-02-28),2023-02-28 16:29:29+00:00,main,https://github.com/grafana/grafana/releases/tag/v8.5.21,False,False
v9.4.2,9.4.2 (2023-03-02),2023-03-02 10:07:43+00:00,main,https://github.com/grafana/grafana/releases/tag/v9.4.2,False,False
