repository_slug,repository_name,repository_full_name,period,metric_name,metric_value,metric_note
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-11,lead_time_days_mean,5.773540991512346,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-01,lead_time_days_mean,2.6386988587424636,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-02,lead_time_days_mean,2.5447280092592592,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-03,lead_time_days_mean,4.498294516880827,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-04,lead_time_days_mean,5.985452552420146,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-05,lead_time_days_mean,9.45923082010582,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-07,lead_time_days_mean,12.803258101851851,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-08,lead_time_days_mean,18.79870701058201,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-09,lead_time_days_mean,26.593985339506176,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-10,lead_time_days_mean,41.670964506172844,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-11,lead_time_days_mean,17.23349922839506,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2025-12,lead_time_days_mean,25.879560185185188,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-06,lead_time_days_median,58.197743055555556,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-09,lead_time_days_median,30.97482638888889,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-11,lead_time_days_median,20.246128472222225,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2022-12,lead_time_days_median,12.941736111111112,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-02,lead_time_days_median,30.101087962962964,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-03,lead_time_days_median,1.0570023148148149,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-05,lead_time_days_median,3.8052546296296295,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-06,lead_time_days_median,1.0867592592592592,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-07,lead_time_days_median,4.999131944444445,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-08,lead_time_days_median,3.1002430555555556,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-09,lead_time_days_median,4.686643518518519,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-10,lead_time_days_median,5.007905092592592,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-11,lead_time_days_median,6.687696759259259,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2023-12,lead_time_days_median,8.182743055555555,
appflowy,AppFlowy,AppFlowy-IO/AppFlowy,2024-01,lead_time_days_median,4.474050925925926,
